ms	gs	fb	wmt	xom	msft	nke
39.89	213.13	82.16	72.93	85.21	46.61	103.34
39.13	209.02	80.67	72.47	84.58	45.65	101.35
39.09	209.79	80.67	72.61	84.85	45.73	101.44
39.29	210.45	82.14	73.06	84.28	46.14	102.03
38.7	208.87	82.05	74.15	84.22	46.36	101.95
39.01	208.29	82.44	74.89	84.95	46.85	102.51
38.52	206.43	80.44	74.53	85.14	46.92	102.11
38.58	207.81	80.29	74.73	85.13	47.23	101.76
38.2	206.19	79.19	74.27	85.2	46.86	101.67
38.73	208.48	80.14	74.84	85.11	47.45	102.3
38.62	209.06	80.55	75.19	85.11	47.61	102.84
37.79	206.38	79.34	74.9	85.35	46.59	103.42
38.17	207.8	80.54	75.86	86.52	46.9	104.43
38.04	204.95	80.48	76.11	87.21	47.42	104.4
38.33	205.08	80.55	75.9	87.13	47.58	104.61
38.69	205.4	80.63	76.43	86.99	47.58	104.64
38.33	204.66	80.88	79.92	86.85	48.01	104.75
37.85	202.97	80.42	79.24	87.35	48.3	104.98
38.14	202.62	81.37	78.72	86.97	48.72	103.44
37.78	201.43	78.44	78.16	86.56	47.62	102.16
37.72	200.53	77.46	78.96	87.02	47.35	102.37
38.25	201.73	78.01	78.1	86.78	47.37	102.79
37.89	200.5	78.51	78.53	88.99	47.75	102.44
37.54	197.39	78.42	78.03	87.6	46.7	101.45
37.05	196.25	78.1	77.65	88.19	46.28	100.22
37.45	197.29	77.56	78.13	88.61	47.6	100.42
37.91	199.3	78.81	79.18	89.11	48.24	100.83
37.51	197.53	78.99	78.6	88.85	48.66	100.78
37.31	196.42	78.77	78.05	87.37	48.64	98.84
37.49	198.56	80.46	77.88	87.87	49.06	100.17
37.04	197.49	80.68	79.1	87.8	49.16	99.86
37.05	196.52	81.91	79.37	87.01	48.03	100.94
37.36	197.99	81.53	79.84	86.97	47.87	100.95
37.38	199.31	82.41	79.18	87.54	43.34	101.11
37.2	198.32	84.63	78.43	87.46	42.98	100.15
